Id,Plant,Rework Station,Rework Activity,Defect Location,Defect Type,Pseudo Defect,Week,Rework Duration
81350,Munich,S9845,Polished,Trunk inner upper,Scratch,0,1,1.0
81351,Sindelfingen,S4213,Checked OK,Windscreen,Paint drops,0,14,5.0
81352,Ingolstadt,A0089,Checked OK,Digital dashboard middle,Elektriks defect,0,13,90.0
81353,Munich,SP8471,Cleaned,Windscreen,Polishing error,0,5,90.0
81354,Munich,A0003,Polished,Windscreen,Cable missing,1,14,1.0
81355,Ingolstadt,A0008,Grinded,Glove compartment inner,Part sticks out,0,13,1.0
81356,Ingolstadt,A0089,Grinded,Seat back left,Scratch,0,2,1.0
81357,Munich,S9842,Polished,Nothing specified,Label missing,0,10,1.0
81358,Sindelfingen,S4213,Part replaced,Trunk inner upper,Elektriks defect,0,4,1.0
81359,Munich,A0008,Cleaned,Trunk inner upper,Clip loose,0,11,5.0
81360,Munich,A0087,Part replaced,Seat back left,Clip loose,1,10,5.0
81361,Ingolstadt,S3513,Polished,Digital dashboard middle,Elektriks defect,0,5,1.0
81362,Sindelfingen,S9842,Polished,Trunk inner upper,Scratch,1,2,1.0
81363,Sindelfingen,A0003,Checked OK,Nothing specified,Paint drops,1,5,15.0
81364,Sindelfingen,A0003,Part replaced,Digital dashboard left,Part sticks out,0,13,1.0
81365,Munich,SP8471,Polished,Glove compartment inner,Scratch,0,6,30.0
81366,Sindelfingen,S9845,Grinded,Front door right,Label missing,1,4,1.0
81367,Sindelfingen,S4213,Grinded,Tailgate front,Scratch,0,4,10.0
81368,Sindelfingen,A0100,Part replaced,Roof liner right,Clip loose,0,1,1.0
81369,Sindelfingen,M8439,Polished,Nothing specified,Label missing,0,5,1.0
81370,Ingolstadt,A0089,Polished,Roof liner right,Dent,0,9,30.0
81371,Munich,M4719,Part replaced,Drivers seat,Polishing error,0,14,30.0
81372,Munich,A0100,Polished,Digital dashboard left,Dent,0,4,1.0
81373,Munich,A0003,Part replaced,Windscreen,Clip loose,0,13,1.0
81374,Sindelfingen,S4213,Grinded,Drivers seat,Paint drops,0,2,5.0
81375,Ingolstadt,A0100,Part replaced,Glove compartment inner,Scratch,0,10,5.0
81376,Sindelfingen,S9842,Cleaned,Seat back left,Cable missing,0,5,40.0
81377,Munich,S9842,Part replaced,Trunk inner upper,Polishing error,0,13,1.0
81378,Munich,A0100,Part replaced,Nothing specified,Cable missing,1,8,1.0
81379,Ingolstadt,S3513,Grinded,Windscreen,Screw loose,0,5,1.0
81380,Munich,A0087,Part replaced,Trunk inner upper,Elektriks defect,0,14,15.0
81381,Ingolstadt,S3513,Dent repaired,Roof liner right,Clip loose,0,7,60.0
81382,Munich,A0087,Polished,Roof liner right,Screw loose,0,11,1.0
81383,Ingolstadt,A0087,Grinded,Seat back left,Elektriks defect,0,4,1.0
81384,Sindelfingen,A0089,Part replaced,Windscreen,Cable missing,0,11,110.0
81385,Ingolstadt,S5123,Grinded,Glove compartment inner,Elektriks defect,0,4,30.0
81386,Munich,S9845,Polished,Trunk inner upper,Cable missing,0,1,30.0
81387,Munich,S9845,Dent repaired,Tailgate front,Label missing,0,4,1.0
81388,Munich,S9845,Part replaced,Roof liner right,Elektriks defect,1,14,1.0
81389,Munich,S3513,Part replaced,Drivers seat,Cable missing,1,9,90.0
81390,Ingolstadt,S9845,Checked OK,Digital dashboard middle,Screw loose,1,9,255.0
81391,Munich,A0089,Grinded,Trunk inner upper,Paint drops,0,3,30.0
81392,Munich,S5123,Grinded,Trunk inner upper,Clip loose,0,9,1.0
81393,Munich,A0021,Dent repaired,Roof liner right,Dirt,1,14,10.0
81394,Sindelfingen,S5123,Part replaced,Front door right,Part missing,0,10,255.0
81395,Munich,A0087,Checked OK,Drivers seat,Elektriks defect,0,1,25.0
81396,Ingolstadt,A0087,Checked OK,Glove compartment inner,Paint drops,0,14,10.0
81397,Sindelfingen,M7120,Polished,Digital dashboard left,Part missing,0,2,5.0
81398,Sindelfingen,S9845,Part replaced,Digital dashboard middle,Scratch,1,12,60.0
81399,Sindelfingen,S5123,Checked OK,Glove compartment inner,Dirt,1,5,30.0
81400,Sindelfingen,A0100,Polished,Front door right,Cable missing,0,10,2.0
81401,Ingolstadt,M8439,Part replaced,Trunk inner upper,Paint drops,0,1,45.0
81402,Ingolstadt,M3417,Dent repaired,Trunk inner upper,Cable missing,0,8,1.0
81403,Munich,A0100,Part replaced,Trunk inner upper,Scratch,1,4,1.0
81404,Sindelfingen,A0100,Polished,Front door right,Clip loose,1,14,10.0
81405,Ingolstadt,SP8471,Part replaced,Glove compartment inner,Elektriks defect,0,4,1.0
81406,Munich,A0003,Dent repaired,Windscreen,Elektriks defect,0,4,1.0
81407,Sindelfingen,M7519,Dent repaired,Windscreen,Elektriks defect,0,12,30.0
81408,Ingolstadt,SP8471,Part replaced,Roof liner right,Scratch,0,5,1.0
81409,Sindelfingen,M3471,Polished,Trunk inner upper,Label missing,0,4,10.0
81410,Sindelfingen,M8439,Checked OK,Nothing specified,Cable missing,0,11,1.0
81411,Munich,S5123,Part replaced,Digital dashboard middle,Part missing,1,14,5.0
81412,Ingolstadt,S5123,Polished,Nothing specified,Clip loose,0,8,300.0
81413,Munich,A0100,Polished,Tailgate front,Label missing,1,1,15.0
81414,Munich,M3417,Polished,Windscreen,Part sticks out,0,13,2.0
81415,Ingolstadt,M8439,Polished,Nothing specified,Part missing,0,3,1.0
81416,Sindelfingen,S3513,Polished,Roof liner right,Cable missing,0,6,8.0
81417,Munich,S9845,Part replaced,Digital dashboard middle,Dirt,1,10,1.0
81418,Ingolstadt,SP8471,Cleaned,Trunk inner left,Scratch,0,6,1.0
81419,Munich,A0008,Polished,Nothing specified,Scratch,0,5,30.0
81420,Sindelfingen,SP8471,Polished,Trunk inner upper,Dent,1,6,1.0
81421,Sindelfingen,SP8471,Polished,Roof liner right,Scratch,0,10,1.0
81422,Munich,SP8471,Polished,Windscreen,Screw loose,0,9,1.0
81423,Munich,S4213,Polished,Nothing specified,Part missing,0,11,1.0
81424,Sindelfingen,A0089,Dent repaired,Nothing specified,Paint drops,1,4,5.0
81425,Ingolstadt,A0003,Polished,Trunk inner upper,Cable missing,0,1,30.0
81426,Ingolstadt,S3513,Part replaced,Nothing specified,Scratch,0,3,90.0
81427,Sindelfingen,M8439,Polished,Front door right,Scratch,0,5,1.0
81428,Munich,SP8471,Polished,Glove compartment inner,Part missing,0,10,90.0
81429,Munich,A0003,Checked OK,Drivers seat,Label missing,0,6,1.0
81430,Munich,A0087,Polished,Nothing specified,Polishing error,1,3,10.0
81431,Munich,S4213,Polished,Trunk inner left,Paint drops,1,7,1.0
81432,Sindelfingen,A0021,Polished,Drivers seat,Part missing,0,10,10.0
81433,Ingolstadt,A0008,Polished,Drivers seat,Scratch,0,4,2.0
81434,Ingolstadt,S9845,Polished,Drivers seat,Clip loose,0,3,5.0
81435,Sindelfingen,S4213,Part replaced,Trunk inner left,Clip loose,0,5,110.0
81436,Munich,A0021,Checked OK,Trunk inner upper,Elektriks defect,0,14,5.0
81437,Sindelfingen,A0003,Polished,Trunk inner left,Label missing,0,5,5.0
81438,Munich,A0021,Polished,Trunk inner upper,Cable missing,0,13,5.0
81439,Sindelfingen,A0087,Polished,Trunk inner left,Paint drops,0,4,1.0
81440,Sindelfingen,SP8471,Polished,Glove compartment inner,Dirt,0,7,255.0
81441,Sindelfingen,A0087,Polished,Digital dashboard middle,Part missing,0,8,5.0
81442,Sindelfingen,A0100,Polished,Front door right,Paint drops,0,8,5.0
81443,Ingolstadt,A0089,Part replaced,Nothing specified,Scratch,0,5,30.0
81444,Munich,M3471,Polished,Drivers seat,Part missing,1,5,275.0
81445,Ingolstadt,S5123,Grinded,Front door right,Dirt,0,4,1.0
81446,Sindelfingen,A0100,Polished,Trunk inner left,Polishing error,0,9,90.0
81447,Ingolstadt,M8439,Part replaced,Seat back left,Elektriks defect,0,9,75.0
81448,Munich,SP8471,Dent repaired,Roof liner right,Paint drops,0,6,75.0
81449,Sindelfingen,S3513,Grinded,Roof liner right,Paint drops,0,10,1.0
81450,Ingolstadt,S9845,Part replaced,Seat back left,Clip loose,0,9,1.0
81451,Munich,SP8471,Polished,Drivers seat,Screw loose,0,10,1.0
81452,Sindelfingen,A0008,Polished,Glove compartment inner,Clip loose,0,11,1.0
81453,Ingolstadt,A0100,Cleaned,Trunk inner upper,Paint drops,1,13,1.0
81454,Sindelfingen,A0100,Grinded,Digital dashboard left,Scratch,1,12,1.0
81455,Sindelfingen,M8439,Checked OK,Roof liner right,Cable missing,0,2,5.0
81456,Munich,A0087,Part replaced,Windscreen,Cable missing,0,12,5.0
81457,Ingolstadt,A0087,Part replaced,Digital dashboard left,Scratch,0,9,120.0
81458,Munich,A0089,Polished,Trunk inner upper,Scratch,0,7,30.0
81459,Sindelfingen,A0100,Checked OK,Nothing specified,Dent,0,8,1.0
81460,Ingolstadt,S9842,Part replaced,Trunk inner upper,Cable missing,1,11,1.0
81461,Sindelfingen,A0087,Polished,Tailgate front,Paint drops,0,7,1.0
81462,Ingolstadt,M7120,Dent repaired,Windscreen,Paint drops,0,14,120.0
81463,Sindelfingen,S3513,Part replaced,Tailgate front,Paint drops,0,12,1.0
81464,Ingolstadt,A0003,Part replaced,Digital dashboard left,Screw loose,0,4,120.0
81465,Munich,S4213,Grinded,Glove compartment inner,Polishing error,1,14,30.0
81466,Munich,A0021,Polished,Trunk inner upper,Part sticks out,0,5,45.0
81467,Munich,A0021,Checked OK,Seat back left,Scratch,0,5,30.0
81468,Munich,S9845,Part replaced,Front door right,Polishing error,0,8,3.0
81469,Sindelfingen,A0089,Cleaned,Seat back left,Polishing error,0,6,1.0
81470,Sindelfingen,SP8471,Polished,Tailgate front,Elektriks defect,0,13,10.0
81471,Sindelfingen,S4213,Polished,Seat back left,Polishing error,0,11,5.0
81472,Sindelfingen,S3513,Polished,Digital dashboard left,Clip loose,0,10,40.0
81473,Sindelfingen,M3471,Polished,Nothing specified,Scratch,1,6,20.0
81474,Ingolstadt,M7120,Polished,Drivers seat,Dent,0,2,1.0
81475,Munich,A0021,Polished,Nothing specified,Part missing,0,10,1.0
81476,Sindelfingen,S9845,Cleaned,Drivers seat,Part missing,1,1,75.0
81477,Munich,S9842,Checked OK,Drivers seat,Paint drops,0,10,1.0
81478,Munich,A0089,Polished,Digital dashboard left,Scratch,0,1,2.0
81479,Munich,S9842,Polished,Windscreen,Cable missing,0,7,1.0
81480,Munich,A0003,Dent repaired,Nothing specified,Scratch,1,9,60.0
81481,Sindelfingen,S9845,Cleaned,Drivers seat,Part missing,0,10,1.0
81482,Sindelfingen,SP8471,Polished,Glove compartment inner,Label missing,0,13,1.0
81483,Sindelfingen,S9845,Polished,Seat back left,Clip loose,1,4,1.0
81484,Munich,S9842,Part replaced,Drivers seat,Cable missing,0,5,40.0
81485,Munich,A0089,Cleaned,Seat back left,Paint drops,1,6,10.0
81486,Sindelfingen,A0021,Polished,Trunk inner left,Dent,0,4,20.0
81487,Ingolstadt,A0021,Grinded,Digital dashboard left,Part missing,0,2,1.0
81488,Sindelfingen,S9845,Dent repaired,Drivers seat,Scratch,0,10,30.0
81489,Sindelfingen,A0087,Part replaced,Roof liner right,Clip loose,0,6,1.0
81490,Ingolstadt,A0021,Polished,Glove compartment inner,Paint drops,1,8,25.0
81491,Sindelfingen,S4213,Polished,Nothing specified,Part sticks out,0,6,40.0
81492,Ingolstadt,A0087,Part replaced,Nothing specified,Part missing,0,3,75.0
81493,Sindelfingen,S9842,Polished,Front door right,Part sticks out,1,2,120.0
81494,Ingolstadt,A0089,Checked OK,Drivers seat,Clip loose,0,10,1.0
81495,Ingolstadt,S9842,Polished,Digital dashboard left,Polishing error,0,5,60.0
81496,Munich,S4213,Part replaced,Tailgate front,Elektriks defect,1,10,120.0
81497,Ingolstadt,SP8471,Cleaned,Windscreen,Cable missing,1,9,15.0
81498,Sindelfingen,A0021,Cleaned,Nothing specified,Polishing error,0,7,1.0
81499,Ingolstadt,S9845,Cleaned,Front door right,Cable missing,1,8,105.0
81500,Ingolstadt,A0021,Part replaced,Seat back left,Scratch,0,7,90.0
81501,Sindelfingen,SP8471,Polished,Seat back left,Cable missing,1,10,5.0
81502,Sindelfingen,S9842,Checked OK,Nothing specified,Clip loose,0,6,5.0
81503,Sindelfingen,A0003,Dent repaired,Glove compartment inner,Elektriks defect,0,12,1.0
81504,Ingolstadt,A0089,Polished,Trunk inner left,Dent,0,9,10.0
81505,Ingolstadt,A0089,Grinded,Seat back left,Scratch,0,4,3.0
81506,Munich,S9845,Dent repaired,Seat back left,Polishing error,0,11,3.0
81507,Sindelfingen,A0021,Cleaned,Drivers seat,Part missing,1,4,10.0
81508,Ingolstadt,S9845,Part replaced,Tailgate front,Scratch,0,5,1.0
81509,Sindelfingen,S9845,Polished,Trunk inner upper,Dirt,0,12,2.0
81510,Sindelfingen,A0021,Part replaced,Tailgate front,Polishing error,0,5,3.0
81511,Ingolstadt,SP8471,Polished,Drivers seat,Scratch,0,3,30.0
81512,Ingolstadt,S3513,Grinded,Trunk inner upper,Scratch,1,9,5.0
81513,Ingolstadt,S9842,Grinded,Trunk inner left,Elektriks defect,1,10,10.0
81514,Munich,A0100,Grinded,Tailgate front,Paint drops,0,9,5.0
81515,Sindelfingen,A0100,Cleaned,Seat back left,Dent,0,10,5.0
81516,Munich,M3471,Polished,Drivers seat,Clip loose,0,10,10.0
81517,Ingolstadt,A0089,Polished,Digital dashboard middle,Clip loose,0,7,2.0
81518,Sindelfingen,A0021,Polished,Trunk inner upper,Part missing,0,6,2.0
81519,Munich,A0089,Polished,Seat back left,Scratch,1,12,1.0
81520,Munich,A0021,Part replaced,Drivers seat,Clip loose,1,6,255.0
81521,Munich,S4213,Polished,Tailgate front,Elektriks defect,1,13,30.0
81522,Ingolstadt,SP8471,Checked OK,Drivers seat,Paint drops,1,13,1.0
81523,Sindelfingen,S4213,Cleaned,Drivers seat,Elektriks defect,0,11,90.0
81524,Sindelfingen,A0008,Cleaned,Drivers seat,Scratch,0,4,1.0
81525,Munich,A0003,Polished,Drivers seat,Clip loose,0,4,160.0
81526,Sindelfingen,S4213,Part replaced,Digital dashboard middle,Scratch,1,10,5.0
81527,Sindelfingen,A0087,Polished,Trunk inner upper,Polishing error,0,6,75.0
81528,Munich,M4719,Checked OK,Digital dashboard middle,Part sticks out,0,3,1.0
81529,Ingolstadt,S5123,Part replaced,Drivers seat,Dent,0,11,1.0
81530,Sindelfingen,SP8471,Polished,Roof liner right,Paint drops,1,12,10.0
81531,Ingolstadt,M8439,Polished,Front door right,Paint drops,0,2,5.0
81532,Sindelfingen,A0100,Checked OK,Glove compartment inner,Paint drops,0,13,30.0
81533,Munich,A0100,Polished,Nothing specified,Paint drops,0,11,90.0
81534,Sindelfingen,A0087,Part replaced,Digital dashboard middle,Clip loose,0,1,40.0
81535,Munich,S4213,Cleaned,Trunk inner left,Dent,0,1,1.0
81536,Sindelfingen,M3471,Polished,Digital dashboard middle,Scratch,0,6,10.0
81537,Ingolstadt,A0089,Polished,Seat back left,Cable missing,0,14,90.0
81538,Munich,S9845,Polished,Drivers seat,Dent,1,10,30.0
81539,Ingolstadt,A0008,Grinded,Digital dashboard middle,Dent,0,12,30.0
81540,Munich,M8439,Polished,Drivers seat,Clip loose,0,3,1.0
81541,Ingolstadt,M7120,Grinded,Glove compartment inner,Polishing error,0,2,15.0
81542,Ingolstadt,M3471,Polished,Trunk inner upper,Part sticks out,0,12,3.0
81543,Munich,S5123,Grinded,Trunk inner upper,Dirt,1,5,10.0
81544,Ingolstadt,A0008,Polished,Seat back left,Clip loose,0,12,15.0
81545,Munich,A0003,Part replaced,Glove compartment inner,Part sticks out,0,12,2.0
81546,Ingolstadt,A0100,Part replaced,Front door right,Label missing,0,2,1.0
81547,Munich,A0008,Polished,Tailgate front,Clip loose,0,10,1.0
81548,Ingolstadt,S9842,Part replaced,Nothing specified,Scratch,0,6,120.0
81549,Munich,S3513,Polished,Trunk inner upper,Clip loose,1,1,255.0
81550,Sindelfingen,S3513,Polished,Seat back left,Clip loose,1,14,10.0
81551,Munich,S9845,Polished,Seat back left,Screw loose,0,14,10.0
81552,Munich,A0087,Polished,Trunk inner upper,Polishing error,1,4,90.0
81553,Munich,S9842,Part replaced,Seat back left,Paint drops,0,1,10.0
81554,Ingolstadt,A0089,Polished,Tailgate front,Scratch,0,7,1.0
81555,Sindelfingen,S3513,Checked OK,Digital dashboard left,Paint drops,1,4,1.0
81556,Ingolstadt,A0087,Cleaned,Drivers seat,Label missing,0,9,20.0
81557,Sindelfingen,S5123,Checked OK,Windscreen,Dirt,0,1,1.0
81558,Sindelfingen,S5123,Part replaced,Digital dashboard middle,Scratch,0,12,30.0
81559,Ingolstadt,SP8471,Part replaced,Front door right,Scratch,0,14,30.0
81560,Munich,A0021,Checked OK,Windscreen,Part missing,1,13,90.0
81561,Munich,A0089,Polished,Drivers seat,Scratch,0,7,10.0
81562,Ingolstadt,S4213,Polished,Seat back left,Scratch,0,3,1.0
81563,Sindelfingen,M3417,Checked OK,Windscreen,Elektriks defect,0,10,1.0
81564,Munich,A0100,Cleaned,Front door right,Scratch,0,8,1.0
81565,Ingolstadt,M3417,Checked OK,Nothing specified,Clip loose,0,13,1.0
81566,Munich,M7120,Grinded,Digital dashboard left,Scratch,1,11,30.0
81567,Sindelfingen,S5123,Grinded,Glove compartment inner,Dirt,0,14,150.0
81568,Sindelfingen,A0100,Polished,Trunk inner left,Cable missing,0,10,30.0
81569,Ingolstadt,A0100,Checked OK,Glove compartment inner,Screw loose,1,5,45.0
81570,Munich,M8439,Checked OK,Digital dashboard middle,Cable missing,0,12,90.0
81571,Sindelfingen,A0087,Cleaned,Windscreen,Label missing,0,12,30.0
81572,Munich,M4719,Cleaned,Seat back left,Clip loose,1,7,8.0
81573,Sindelfingen,S9845,Polished,Seat back left,Polishing error,0,6,5.0
81574,Sindelfingen,S9845,Part replaced,Seat back left,Polishing error,1,14,1.0
81575,Munich,SP8471,Polished,Digital dashboard middle,Cable missing,1,8,1.0
81576,Munich,A0021,Polished,Front door right,Scratch,0,9,75.0
81577,Ingolstadt,S3513,Part replaced,Digital dashboard left,Scratch,1,8,1.0
81578,Sindelfingen,SP8471,Polished,Trunk inner left,Clip loose,1,11,5.0
81579,Sindelfingen,S5123,Grinded,Digital dashboard middle,Scratch,0,1,110.0
81580,Ingolstadt,S3513,Cleaned,Windscreen,Elektriks defect,0,1,5.0
81581,Sindelfingen,A0003,Part replaced,Nothing specified,Cable missing,1,6,30.0
81582,Munich,S9845,Dent repaired,Roof liner right,Dirt,0,7,1.0
81583,Munich,S4213,Polished,Nothing specified,Elektriks defect,0,3,10.0
81584,Ingolstadt,A0089,Part replaced,Digital dashboard middle,Paint drops,1,3,40.0
81585,Sindelfingen,A0021,Polished,Front door right,Part missing,0,13,30.0
81586,Sindelfingen,SP8471,Checked OK,Drivers seat,Clip loose,1,13,10.0
81587,Munich,A0021,Polished,Digital dashboard middle,Cable missing,0,3,30.0
81588,Ingolstadt,M9348,Dent repaired,Windscreen,Scratch,0,12,1.0
81589,Sindelfingen,A0089,Checked OK,Nothing specified,Clip loose,0,1,30.0
81590,Ingolstadt,A0021,Cleaned,Nothing specified,Scratch,0,13,1.0
81591,Munich,S4213,Cleaned,Tailgate front,Elektriks defect,0,9,1.0
81592,Sindelfingen,S9842,Polished,Glove compartment inner,Screw loose,0,10,1.0
81593,Sindelfingen,A0003,Dent repaired,Seat back left,Cable missing,0,9,1.0
81594,Sindelfingen,M8439,Grinded,Windscreen,Clip loose,0,14,5.0
81595,Munich,A0087,Checked OK,Nothing specified,Cable missing,0,10,40.0
81596,Sindelfingen,A0087,Cleaned,Trunk inner upper,Scratch,0,4,1.0
81597,Munich,S9845,Checked OK,Front door right,Cable missing,1,10,10.0
81598,Ingolstadt,A0021,Grinded,Glove compartment inner,Elektriks defect,0,3,1.0
81599,Munich,S9845,Cleaned,Trunk inner left,Clip loose,0,10,150.0
81600,Munich,S4213,Checked OK,Glove compartment inner,Part missing,1,13,1.0
81601,Sindelfingen,S4213,Cleaned,Seat back left,Polishing error,0,1,1.0
81602,Ingolstadt,SP8471,Part replaced,Glove compartment inner,Paint drops,0,14,10.0
81603,Ingolstadt,A0021,Grinded,Trunk inner upper,Clip loose,0,7,1.0
81604,Ingolstadt,A0100,Polished,Glove compartment inner,Screw loose,0,6,120.0
81605,Ingolstadt,M8439,Part replaced,Front door right,Part missing,0,2,5.0
81606,Sindelfingen,SP8471,Part replaced,Nothing specified,Clip loose,0,2,1.0
81607,Ingolstadt,A0021,Grinded,Trunk inner upper,Part missing,0,4,45.0
81608,Sindelfingen,S9845,Part replaced,Roof liner right,Clip loose,1,1,90.0
81609,Ingolstadt,S3513,Grinded,Drivers seat,Paint drops,0,9,30.0
81610,Ingolstadt,S3513,Part replaced,Windscreen,Paint drops,1,12,2.0
81611,Ingolstadt,A0087,Checked OK,Digital dashboard middle,Label missing,0,13,60.0
81612,Sindelfingen,A0089,Part replaced,Windscreen,Dirt,0,13,40.0
81613,Ingolstadt,M9348,Polished,Windscreen,Paint drops,0,12,60.0
81614,Munich,A0021,Checked OK,Trunk inner upper,Part missing,1,12,1.0
81615,Sindelfingen,A0008,Grinded,Nothing specified,Part sticks out,0,2,1.0
81616,Ingolstadt,SP8471,Checked OK,Front door right,Screw loose,0,6,90.0
81617,Ingolstadt,S4213,Polished,Digital dashboard middle,Clip loose,0,6,110.0
81618,Sindelfingen,M4719,Dent repaired,Drivers seat,Paint drops,1,1,1.0
81619,Munich,A0021,Part replaced,Trunk inner upper,Polishing error,0,4,1.0
81620,Ingolstadt,A0087,Cleaned,Drivers seat,Clip loose,0,1,10.0
81621,Sindelfingen,A0021,Grinded,Digital dashboard middle,Elektriks defect,0,12,20.0
